_Collision Id,Borough Name,Borough Number,Easting,Northing,_Vehicle Id,Vehicle Type Banded,Vehicle Type,Vehicle Manoeuvres,Vehicle Skidding and Overturning,Vehicle Restricted Lane,Location of Vehicle at First Impact,Vehicle Hit Object in Carriageway,Vehicle Leaving Carriageway,Vehicle Hit Object Off Carriageway,First Point of Impact,Journey Purpose,Driver Gender,Driver Age,Driver age (Banded)
1220386767,Wandsworth,10,527069,177255,2,Goods Vehicle,GDS =< 3.5T,Unknown (S/R),Unknown (S/R),Unknown (S/R),Not At Jct,Unknown (S/R),Unknown (S/R),Unknown (S/R),Front Hit First,Unknown,Male,34,25-34
1220386774,Harrow,29,513692,187002,1,Taxi,Taxi,Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Front Hit First,Other/Not Known,Male,38,35-64
1220386776,Islington,3,532389,186296,2,Car,Car,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Unknown,Female,50,35-64
1220386778,Lambeth,9,529189,174207,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Cleared,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,40,35-64
1220386792,Lewisham,7,538667,174727,1,Goods Vehicle,GDS =< 3.5T,Going Ahead Right Bend,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,32,25-34
1220386796,Hounslow,25,514322,175999,1,Car,Car,Moving Off,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,37,35-64
1220386800,Sutton,21,528521,164914,1,Car,Car,Going Ahead Left Bend,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Taking Pupil To/From Sch,Male,44,35-64
1220386800,Sutton,21,528521,164914,2,Car,Car,Going Ahead Right Bend,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Female,31,25-34
1220386803,Kingston-Upon-Thames,23,519481,169003,1,Car,Car,Unknown (S/R),Unknown (S/R),On Main CW - Not Rest.,Unknown (S/R),None,Did Not Leave,None,Front Hit First,Unknown,Not Traced,46,35-64
1220386807,Westminster,1,526883,181391,1,Bus Or Coach,London Bus,Moving Off,No Skidding/Overturn,On Main CW - Not Rest.,Jct Cleared,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,60,35-64
1220386810,Hounslow,25,510379,173364,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Unknown,Not Traced,21,17-24
