,GSV_ID,Person,Bike,HeavyV,LightV,Facade,WindowOpening,Road,Sidewalk,StreetFurniture,GreeneryTree,GreeneryGrass,Sky,Nature
134,MEp2gImGFrRQTzH7j14Rog,0.0,0.0,0.0,0.0,0.11,0.0,0.25,0.0,0.0,0.23,0.08,0.24,0.0
135,Xi3v5-2PqcLM9-NOoXY-hQ,0.0,0.0,0.0,0.03,0.26,0.0,0.15,0.13,0.01,0.28,0.02,0.09,0.0
136,mgDQIfqp6UfvtROxUQON4w,0.0,0.0,0.0,0.07,0.24,0.0,0.23,0.03,0.0,0.22,0.05,0.11,0.0
137,c1kN0GIqklBQZNLU2W3UPA,0.0,0.0,0.0,0.07,0.37,0.0,0.21,0.06,0.01,0.08,0.01,0.12,0.0
138,_p5qq_t1WBzzKCS31R3lUw,0.0,0.0,0.0,0.06,0.38,0.0,0.19,0.11,0.02,0.02,0.0,0.19,0.0
139,Wg3nCKOdP82OTjGZfZQxXg,0.0,0.0,0.0,0.05,0.31,0.0,0.28,0.04,0.0,0.04,0.04,0.22,0.0
140,RhD1IucPj0o1aM8ZzHvDlA,0.0,0.0,0.03,0.02,0.35,0.0,0.14,0.19,0.0,0.07,0.02,0.16,0.0
141,S0CUV1iE5-YSSfhGZoMm4Q,0.01,0.0,0.0,0.07,0.4,0.0,0.29,0.06,0.0,0.1,0.0,0.05,0.0
142,qypGQZ7xNbB8Zqf5pjln0g,0.0,0.0,0.0,0.02,0.12,0.0,0.31,0.02,0.0,0.19,0.03,0.28,0.0
143,eOXLF8peVOZAoxUjJrIldA,0.0,0.0,0.0,0.01,0.06,0.0,0.31,0.03,0.01,0.44,0.01,0.07,0.0
144,7fcyx7sFCj8TbrfhqgKjRQ,0.0,0.0,0.0,0.0,0.02,0.0,0.24,0.0,0.0,0.31,0.03,0.22,0.0
145,CAoSLEFGMVFpcE92MWo2TWRXNU1xZ0NjbmtXazBEdy1oekVTWWdLaGJNSGlzOV9t,0.0,0.0,0.0,0.01,0.27,0.0,0.29,0.1,0.01,0.15,0.01,0.14,0.0
146,US957QvkPhA_x4YGjd2xjg,0.01,0.0,0.0,0.01,0.29,0.0,0.3,0.06,0.0,0.19,0.02,0.09,0.0
147,7YQVo5lA6Glzyl29BzquuA,0.0,0.0,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.38,0.1,0.26,0.0
148,G1IH5mLW5LG8OvTpyXZoUw,0.01,0.0,0.0,0.01,0.46,0.0,0.23,0.1,0.01,0.0,0.0,0.15,0.0
149,YiJ89V0bqlWwGNuf0QtMBg,0.0,0.0,0.0,0.0,0.36,0.0,0.25,0.1,0.0,0.01,0.0,0.24,0.0
150,wm8paIwcfFXk91clNiKQFg,0.0,0.0,0.0,0.07,0.16,0.0,0.37,0.01,0.0,0.05,0.0,0.32,0.0
151,Tk5NwppDObFtmTk_ixTCaw,0.0,0.0,0.0,0.04,0.31,0.0,0.29,0.1,0.0,0.07,0.0,0.18,0.0
152,Sew5duQJCE4KbCA_hLHvfA,0.0,0.0,0.0,0.01,0.59,0.0,0.14,0.16,0.01,0.06,0.0,0.02,0.0
153,IqoV8E6C3_ekPwZ6e4e0EA,0.0,0.0,0.0,0.01,0.01,0.0,0.27,0.0,0.01,0.28,0.0,0.35,0.0
