,_Collision Id,Easting,Northing,geometry,GSV_ID
126,1200242614,528655,179426,POINT (-0.1479308819128246 51.49913991585357),AiZzn9eLlMbW5_6k5_OZQw
127,1200242722,524014,182434,POINT (-0.2136984604526046 51.52720929983394),5X_ZARjsk0mSPUBZaTf7gA
128,1200242776,527930,181957,POINT (-0.1574522533216419 51.52204988934285),YQCGaPu60S6HtDQVvQqluw
129,1200242925,529314,180699,POINT (-0.1379761141689935 51.51042976193706),rUpo6dlb2XoQqm_j4CHcqg
130,1200243046,523836,182516,POINT (-0.2162342379742464 51.52798526348631),RnpohlUP4yFyJl-q-4xtHw
131,1200243209,524182,182848,POINT (-0.2111321356235969 51.530893048172224),GwU3fmh36G8sxHN9JtGAnA
132,1200243817,527777,181921,POINT (-0.1596693631047138 51.52176096634251),4lQxbKyViFkaTHfetbN4uA
133,1200244496,529427,177897,POINT (-0.1373755599821252 51.485223152821305),n8tOSeFAnpUAiOMCDA4nVQ
134,1200244919,526290,181764,POINT (-0.1811468829724382 51.520684152949514),-UHlC36IWb-NKEmkYXAAfg
135,1200245180,527643,182349,POINT (-0.1614447950184958 51.52563758476553),VT1NRvZHbW5muKaptTiHFg
136,1200245445,528761,178439,POINT (-0.1467644369894378 51.490245866711284),2o8h8wvitOIZ56I_gjT1Lw
137,1200245768,526691,182097,POINT (-0.1752507069070915 51.52358706426841),KYO03807alOUm3fHEXn2hA
138,1200246001,526392,180694,POINT (-0.1800608533118517 51.511045377424225),XI67lkPhN9_MGZRqwfbgLA
139,1200246353,525279,182304,POINT (-0.1955190191073711 51.52576204249497),yeQUkF_MDYtKRgT3PtL5-A
140,1200246442,525476,181839,POINT (-0.1928462680339072 51.521539415663604),coTVG5J7LTaYZL_SKFHcww
141,1200247023,528384,180445,POINT (-0.1514622921409987 51.50835899718408),oeGFhm6s48PP91i9FtAEIQ
142,1200247072,529974,178982,POINT (-0.1291030129610192 51.49484837518427),8z7hNaquhdePgqVwcdKE5A
143,1200247134,525768,182245,POINT (-0.188494998775339 51.5251232276288),QvSM2QTsmOaRV5cCJSAzJQ
144,1200247172,528898,182190,POINT (-0.1434225086863044 51.52392391632087),NBDANtmmCDDRhbtxFauJlg
145,1200247507,529738,178451,POINT (-0.1326956781397073 51.49013059554413),-uFF_OTUXoijUiymQhNClw
146,1200247691,528543,179019,POINT (-0.1496916286406092 51.49550775432803),CAoSLEFGMVFpcE5Ga20xWHRFcmZ0QWk5blBjeDFlSWNsX3p2M2c2T3Z0SlBVQ0pi
147,1200247761,525089,181513,POINT (-0.1985369283643069 51.518695417159165),HDA629iI5FDmqnVawShUfA
148,1200247824,528358,178915,POINT (-0.1523929098695842 51.49461512191959),yBIbR3wxwVXEdavCxU316A
149,1200248427,528012,181052,POINT (-0.1565993997255501 51.51389829344253),CAoSLEFGMVFpcE8xbVc5cVdzRnd1Z3ZyMzJxYnBwZkZUR3ZHZ09UTTgzS3VPQVM5
150,1200248970,529145,179779,POINT (-0.1407466093446978 51.502200598915174),WCNGYkw8BGxfxiP_D8yq7g
151,1200249040,527530,183286,POINT (-0.1627337933072487 51.53408371449275),Z7-H1fLY6_LI8YzjQ61ZSA
152,1200249135,525564,182497,POINT (-0.1913442645471854 51.5274332868993),fMVD6LMEK1e1W02xN29VoQ
153,1200249149,528217,180527,POINT (-0.1538375212162277 51.509133794277254),uoArC3k2uAejfKVsYoiK0g
154,1200249239,526929,180816,POINT (-0.1722829304973083 51.51202151263742),PzOLU_qYkWfNeFi4kxPRFA
155,1200249487,528894,182199,POINT (-0.1434768436031479 51.52400570870308),tJ5EGgoFpk_guOiH4djkpA
156,1200249538,526247,181266,POINT (-0.1819445434677581 51.5162182776888),T7tluOPhg4Fz5HpMAZ8Nsw
157,1200249556,529958,178302,POINT (-0.1295834988925921 51.48874110660752),Tn3soeYf7GAtcpKEi2kowg
158,1200249640,529632,180672,POINT (-0.1334062597003206 51.510114323895145),ARTuu7QuMYlNasuZI1yCMQ
159,1200249747,525923,182778,POINT (-0.1860715730713386 51.52987874551936),bmmlg7NMTss_s-kVVz8j5g
160,1200249978,528348,180007,POINT (-0.152139992576207 51.504430960357425),6dqHMyK_js3c9aeBcrxtSA
161,1200250293,528588,182143,POINT (-0.1479055560215783 51.523572140390016),CAoSLEFGMVFpcE05akdKRUVTRlpocVN2enhTU1IzLTJCUllVR2oxcXJsb3o0ajVI
162,1200250415,530250,180184,POINT (-0.1246861295565572 51.50558686259664),wedutdnnqk950KMbgCYMCA
163,1200250551,525553,181155,POINT (-0.1919804717854792 51.5153752439139),a8cbqhs0nPey8YsTi4PqEQ
164,1200250606,524883,181888,POINT (-0.2013715747329909 51.5221110783415),uuR5Gv_n1qJdBUWuWqevzw
165,1200250753,525351,181991,POINT (-0.1945929670831153 51.52293316273522),77LKQ6Hf9v5mYZZxKvG7tg
166,1200250794,525549,181764,POINT (-0.191821344155162 51.52084918801771),qj00ZjETwZM99GjsH26sHA
167,1200251016,527464,181129,POINT (-0.1644644960030598 51.51471406291188),34ehsAZupCIINVgfimwtww
168,1200251634,527770,181910,POINT (-0.1597741871885117 51.521663693721315),HA96Pys_UpKnFFko4X3CLA
169,1200251965,528780,179207,POINT (-0.146210946540863 51.497143379079745),V8sf0lw3bUHF20Fp1rMdiA
170,1200252083,530178,179618,POINT (-0.1259316338424456 51.500516995455044),CAoSLEFGMVFpcE02OWc2QV9WeWFoemdIMFFTdmVNQ01YYVM4Y3JheFQyb3U1LUc1
171,1200252299,526695,182077,POINT (-0.1752002670256236 51.523406430543545),C0UJ3L413hb_HXF-m2bOzA
172,1200252316,525153,182457,POINT (-0.1972800118019568 51.527164959545686),1dU-ZgXEi7WIGLZ2L5QXnQ
173,1200252396,527224,182786,POINT (-0.1673235760386646 51.52965928318462),abaADIGKRd_ReF5ibJkWQw
174,1200252597,528839,181666,POINT (-0.1444638905929002 51.519228329392526),LwjuP3OQK2htnvKfDB-xvQ
175,1200252645,525416,182382,POINT (-0.1935175007011456 51.526432645452225),5q48vuXqMYxttdaR87tueA
176,1200253201,527657,183494,POINT (-0.1608284449854423 51.53592428834636),UUdLmuLq2V9wqGxWVE-6uw
177,1200254664,527139,182380,POINT (-0.168694676723977 51.52602975954662),Jb0j7VZh75OzY3DBLY-XRw
178,1200254680,529093,180462,POINT (-0.1412456102493034 51.50835039764937),vkpgmZeqFSCpAb4KY-410A
179,1200254701,527986,180731,POINT (-0.1570903045827271 51.51101941888552),ErTcOnZmRBxQzrgd-e-QiA
180,1200254722,527908,180938,POINT (-0.1581386446449168 51.512897331614354),L6RvGacp8D6MGhvd5VLRxA
181,1200254749,526549,183002,POINT (-0.1769715649674224 51.5317519845833),wtIcnuAhwIuYPHDhh3141g
182,1200255012,528935,180242,POINT (-0.1436013635106828 51.506409356313696),48nanQSjMPMxAI-FbCtPvw
183,1200255343,530015,180366,POINT (-0.1280031459067632 51.50727649531552),Y2nOS9ZaGo1J1rHhsXJ-7g
184,1200255378,528478,182229,POINT (-0.149458890728911 51.524370009951554),uHwsWXB4iB8yv3gzqoOlXA
185,1200255395,527018,181743,POINT (-0.1706673546839889 51.52033234402363),G899os1v9ehhuDVzZApIPA
186,1200255681,530445,180373,POINT (-0.1218082529228085 51.50724039953859),CAoSLEFGMVFpcE9Tc3dCMF80R1pHWW9wUDJFaWRlcXV1S24tOFM0eW1vXzVFcUZB
187,1200255740,527660,181589,POINT (-0.1614749790183897 51.5188037804577),VIlsWP7tt3IuuSkNfk9nmw
188,1200255814,525146,182044,POINT (-0.1975274402023589 51.5234548899946),SMZqUmd3lt3L-XjKlTsr5A
189,1200255912,527144,181712,POINT (-0.1688634732845563 51.520025430849174),qbSxOT_MGWF0vmafcFTgvg
190,1200255940,524878,181891,POINT (-0.2014425426153461 51.52213914378618),Ep0Ye47P_VsWO4x4edhh_w
191,1200255979,525735,181458,POINT (-0.1892509902685462 51.51805784980854),NXpvqfepUOrgapngb1ZjQg
192,1200255990,526820,181958,POINT (-0.173442283335468 51.52230896671686),KAuDnVr6UhfC-msf4ASaDQ
